Entidad,ActivoTotal,Inversiones,CarteraTotal,CaptacionTotal,CapitalContable,ResultadoNeto,Fecha
BBVA México,3267030.8519120696,647388.16806052,1962069.9538731,1974147.70074776,372109.16352629,9150.03546049,2025-01-01
Santander,2041709.726882,558502.757053,908464.746158,1027667.483833,156481.336151,2783.510386,2025-01-01
Banorte,1886961.42433919,421376.4856348,1136815.81650144,1179260.1621949,156234.49160775,3739.99373364,2025-01-01
Banamex,1077888.15032522,368088.36141290003,466838.89095823996,743411.9043884401,168888.93523341,1394.20510356,2025-01-01
Scotiabank,971116.157089,218308.227844,525426.657434,602616.741975,90754.515025,952.319408,2025-01-01
HSBC,944404.59574,208501.016537,512232.970861,609112.824597,81780.112738,691.02993,2025-01-01
Inbursa,677301.183503,68005.900379,456670.21731,444768.493441,189517.57261,1473.985509,2025-01-01
Citi México,598435.25934025,220172.87516498,189677.39509093,317931.74720271,69442.17234412,1903.35997653,2025-01-01
Banco del Bajío,366002.12934855,25063.2854036,267099.34720018,302616.04603434,46422.991607410004,861.7218054900001,2025-01-01
Banco Azteca,326470.70115803,76583.95140446001,188627.81597164003,234698.86346286,40676.6650391,549.8402513,2025-01-01
Afirme,302465.777915,179260.434155,65708.088416,84286.06506400001,8818.072931,80.765996,2025-01-01
Monex,300637.23832493,142282.49040466,54214.68172673001,79469.85273907999,14954.25329567,332.92288861000003,2025-01-01
Banregio,250963.38112588,40605.78994985,179530.55718635998,187035.9316868,31096.39924042,550.43565459,2025-01-01
J.P. Morgan,209953.864627,45993.456299,24114.179669,67068.55170899999,34364.232209,494.896805,2025-01-01
Bank of America,208612.890016,40499.484621,35232.35418,115351.246288,22007.837876,114.582991,2025-01-01
Invex,188174.7718,120678.894334,44481.427079,54595.94322,10024.520677,153.658093,2025-01-01
BanCoppel,171773.71471513002,72406.49529727,68100.89480794,146038.06387315,20012.87693305,422.73952032,2025-01-01
CIBanco,167963.423558,78759.382353,15450.879826,50091.688921,5756.14249,28.155498,2025-01-01
Banca Mifel,147466.93194,42533.112293,80742.580663,92513.05606100001,14115.350971,215.749339,2025-01-01
Sabadell,138069.083768,23197.939464,94766.66246,119229.29677700001,16881.775801,99.927276,2025-01-01
Multiva,137863.396683,51064.704925,71781.491915,82733.68137399999,9594.742062,115.993414,2025-01-01
Barclays,137368.094085,10678.07316,0.0,2793.283635,8532.152401,0.64722,2025-01-01
Banco Base,126243.346306,84686.315549,11569.950436,34474.795896999996,7017.563445,151.62662,2025-01-01
Ve por Más,94525.865385,27332.833055,57505.195542,60827.989232,9664.539436,105.168799,2025-01-01
Intercam Banco,82989.629491,32176.594612,25360.10962,39535.880758,11296.625231,246.865957,2025-01-01
Bansí,63393.434623,24844.789759,26295.179545,39271.508386999994,7155.279494,99.729168,2025-01-01
Compartamos,59789.726845,0.0,50943.326636,37577.95328,16244.626445,507.198544,2025-01-01
Actinver,55890.744763,10821.112772,28655.211246,36136.107674,6511.266931,-62.080967,2025-01-01
BIAfirme,53756.486157,52042.690142,271.623952,23.30917,1107.042038,2.323405,2025-01-01
MUFG Bank,49405.877122,7100.2455,13641.832656,30209.274984,9153.016956,162.973896,2025-01-01
Bancrea,48630.789167949995,1764.80069316,39304.30207039,41965.00711889,4457.261762270001,95.72965493000001,2025-01-01
Consubanco,31360.388374,819.938524,26211.462821,18160.30499,5814.647738,39.555068,2025-01-01
BNP Paribas México,26126.468057,4454.234668,0.0,0.0,5269.048784,-3.984222,2025-01-01
Inmobiliario Mexicano,15437.77173673,209.87786738,12559.702727290001,12741.49166688,1796.63558203,8.76842289,2025-01-01
Bankaool,15397.477708,0.0,9309.928809,13170.938317999999,1595.764981,-58.594596,2025-01-01
Autofin,14241.22574668,3575.46442737,6635.85136759,12191.042498820001,1441.32031648,19.926500670000003,2025-01-01
ICBC,13075.122699,444.540535,4160.544797,10817.725622,1228.107932,24.788309,2025-01-01
Mizuho Bank,12350.12969238,493.56395,6673.0152307,7524.99642715,4334.97268661,55.94866558,2025-01-01
Bank of China,9245.68684469,0.0,3957.3302800700003,6996.662693549999,2188.11267132,11.061866160000001,2025-01-01
Banco Covalto,9145.08843201,93.05382161,5508.2937415,7824.256517520001,1077.95483034,20.19038287,2025-01-01
Volkswagen Bank,7527.640636,0.0,6674.705685,3517.119535,3429.548977,41.846726,2025-01-01
Banco Ualá,7085.094792,3083.392321,585.813778,5954.28806,901.339885,-79.770981,2025-01-01
Shinhan,6315.015326,1579.981482,3905.441077,4420.844984,1841.866226,11.068795,2025-01-01
KEB Hana México,5950.513902,1749.736703,4161.298223,4185.352318,1734.027484,8.000394,2025-01-01
Openbank,4988.721275,2143.071435,0.27971,15.482616,4367.091898,-64.349678,2025-01-01
Banco S3,4478.377714,9.943675,21.23437,1673.5711840000001,2391.492112,26.887806,2025-01-01
Banco Bineo,3453.62727171,0.0,44.68966948,39.221136030000004,3160.5970164699997,-99.4213346,2025-01-01
Credit Suisse,2423.910903,2041.85002,0.0,0.0,2163.809211,-19.025233,2025-01-01
Dondé Banco,2349.619777,98.235203,1240.279447,1578.60621,518.224333,-11.783391,2025-01-01
Forjadores,862.533238,0.0,431.381591,206.36976,606.85787,1.220676,2025-01-01
Pagatodo,380.554473,0.0,0.0,29.265581,334.573556,-8.943224,2025-01-01
Sistema,15345453.6166534,3921517.55286456,7693675.594315579,8948507.99584388,1687269.52859774,27343.402289030004,2025-01-01
BBVA México,3233991.17153859,627119.36412087,1962894.5819646001,1996888.4645017001,382119.13745532,16716.52816986,2025-02-01
Santander,1981581.592946,588197.08821,912735.513163,1038072.316464,159043.592966,4573.651441,2025-02-01
Banorte,1877201.28677231,414184.60896112,1141823.43941818,1182236.4347216901,161907.74455497,7183.32515736,2025-02-01
Banamex,1064032.7042083,371612.90683814004,468066.79062631,737166.9309025,171000.41739154002,2227.35824535,2025-02-01
HSBC,915256.840586,205924.931007,509925.17069,597130.490723,83009.821868,1563.972716,2025-02-01
Scotiabank,886077.561988,182164.148104,522712.16124,605508.057864,91091.888937,1566.918913,2025-02-01
Inbursa,679591.27459,77227.577568,463056.177724,446992.092386,190511.79783,3652.17538,2025-02-01
Citi México,587698.3710044699,227567.42804156,192183.75268657997,336397.83917875,70364.66391830999,2174.15616146,2025-02-01
Banco del Bajío,365517.08333566,25797.38962361,267538.00171648996,301695.91651445,47154.31431175,1607.39473727,2025-02-01
Banco Azteca,329631.80749129,86160.10828746001,190676.73799964003,238172.54456832,41196.99760003,1070.17281223,2025-02-01
Monex,316577.33617238,154300.23401187,54868.68326136,81290.65609166,15160.94999949,539.15244422,2025-02-01
Afirme,312239.981056,187726.90874,65831.412737,86126.056392,8771.063294,129.543532,2025-02-01
Banregio,257390.81783885998,44434.063933800004,179168.04579884,179184.72005987997,31637.38118502,1071.83218735,2025-02-01
J.P. Morgan,200442.476108,47366.037219,26345.24053,57006.273758,34726.812285,857.67687,2025-02-01
Invex,197117.197408,125808.010686,44599.12421,52871.947319,10114.229924,244.169281,2025-02-01
CIBanco,184026.878358,79162.458755,15693.554162,50703.502406,5767.457534,16.262409,2025-02-01
BanCoppel,171484.71397304998,74671.65627947,68376.13206551,145349.95698925,20826.35236459,702.52735147,2025-02-01
Banca Mifel,154480.889115,47900.952228,80369.502453,96211.77434999999,14365.611152,469.261794,2025-02-01
Multiva,141061.433403,51579.53869,69448.807805,83955.719532,9710.654965,230.84865,2025-02-01
Sabadell,140947.789575,17957.889831,94502.189335,122259.44934300001,16987.739835,201.578318,2025-02-01
Bank of America,131230.2284,32432.357924,36041.87654,59296.866244,22285.701553,380.031514,2025-02-01
Banco Base,129603.186563,95798.50053,11429.034532,35130.625063,7153.907948,287.971123,2025-02-01
Barclays,106453.184536,10847.48135,0.0,0.0,8608.639617,77.134436,2025-02-01
Ve por Más,94507.238277,28571.551769,58394.377515,60674.224441000006,9781.219148,260.789381,2025-02-01
Intercam Banco,82700.919758,32726.324406,25084.535655,39832.043791,11526.111144,477.33273,2025-02-01
Bansí,69243.357934,26284.335779,26046.221224,42961.385016,7258.331807,202.781481,2025-02-01
Compartamos,59998.485417,0.0,50783.082939,37079.108469,16741.677897,1004.249996,2025-02-01
Actinver,58451.099166,10947.165199,27683.148626,38852.399659999995,6654.484452,96.012889,2025-02-01
BIAfirme,56001.747724,54294.176809,270.568491,23.187009,1134.142132,29.423502,2025-02-01
Bancrea,49110.31709913,1773.99946823,39565.22379875,42301.48110026,4530.3744691,168.84182617,2025-02-01
MUFG Bank,47662.516155,7024.25228,13058.268188,31811.123083,9252.940742,262.603388,2025-02-01
Consubanco,32010.327778,912.29394,26840.113239,18585.942907999997,5890.710383,124.088221,2025-02-01
BNP Paribas México,24728.927329,5288.537315,0.0,0.0,5333.776905,1.055513,2025-02-01
Bankaool,17902.082077,436.323514,9965.902706,14514.690704,1624.692155,-84.667422,2025-02-01
Autofin,16036.28982593,3864.46153334,7124.160380189999,13958.482577269999,1458.5066502,44.27149163,2025-02-01
Inmobiliario Mexicano,15680.64389523,209.90608359,12710.80884632,12961.01775314,1812.28829017,24.37464744,2025-02-01
ICBC,12564.927305,297.41372,4226.365816,10288.588168999999,1249.258371,45.908411,2025-02-01
Mizuho Bank,12544.882429469999,497.38595,6479.27818958,7387.352247090001,4357.784534310001,78.79646349,2025-02-01
Banco Covalto,9286.42921475,92.74197109,5518.00516804,7925.51613521,1096.18293692,39.14331372,2025-02-01
Bank of China,9233.53227119,0.0,4233.7013073200005,6964.83855242,2194.55936471,17.50855955,2025-02-01
Volkswagen Bank,7841.852463,0.0,6870.614093,3814.7615610000003,3461.790288,74.088037,2025-02-01
Banco Ualá,6927.813934,3128.458963,599.944274,5865.230116,830.17937,-154.567952,2025-02-01
Shinhan,6687.512339,1592.520624,3890.924562,4789.465667,1850.194743,19.397313,2025-02-01
Banco S3,6518.528876,0.0,32.482691,3347.479761,2412.793095,48.188789,2025-02-01
KEB Hana México,5945.018533,1768.683709,4118.712017,4177.270838,1737.546063,11.518973,2025-02-01
Openbank,4961.561521,2340.35686,3.250214,167.729785,4306.218629,-125.686968,2025-02-01
Banco Bineo,3769.82152122,0.0,42.24739058,43.362086409999996,3464.01407922,-197.27243542,2025-02-01
Dondé Banco,2445.914601,150.378536,1334.034664,1757.246566,507.31515,-22.692573,2025-02-01
Credit Suisse,2386.48232,2011.147161,0.0,0.0,2149.006317,-33.828127,2025-02-01
Hey Banco,1542.32021072,0.0,0.0,0.0054,1537.49430302,16.852569,2025-02-01
Forjadores,867.04079,0.0,420.522351,212.047292,607.453172,-1.184022,2025-02-01
Pagatodo,376.524052,0.0,0.0,31.031158,329.023426,-14.493354,2025-02-01
Sistema,15081569.92178355,3960154.056530149,7713582.4250042895,8939975.647218,1718606.9485056698,49956.47828514999,2025-02-01
BBVA México,3319730.8224230697,585920.52606283,1975969.18475379,2077783.7345771,376151.02674008004,24715.17838049,2025-03-01
Santander,1976635.817752,605893.363462,926408.817722,1059824.404475,162190.660045,7333.317082,2025-03-01
Banorte,1914834.95650395,421726.83026754,1145988.3335683101,1208627.8219036302,165779.57608985002,11165.3125402,2025-03-01
Banamex,1080484.16005191,354782.43374551,473492.67310563,748557.2702619701,172547.08203638002,2415.6685825100003,2025-03-01
HSBC,912808.591755,202243.953916,511461.103856,596108.71777,83726.264214,2262.63815,2025-03-01
Scotiabank,892678.936466,184462.796502,522314.997832,601487.058114,91941.738185,2528.807334,2025-03-01
Inbursa,690798.051011,74810.092416,466876.953184,455999.127162,192358.270135,5666.928891,2025-03-01
Citi México,600103.7636541601,214173.37868285002,191922.75826498002,371394.09587078,72072.37328677,3734.5042656799997,2025-03-01
Banco del Bajío,375055.40836109995,27518.503310689997,267955.62853456,309987.26560672,47981.29276548,2491.10067856,2025-03-01
Banco Azteca,334968.33702609,86987.25834916001,190629.51938155,236630.25248542998,41925.37843878,1798.55365098,2025-03-01
Monex,321269.39500784996,162919.10293770002,54667.26581358,86408.73495927,15496.36894314,873.8730089,2025-03-01
Afirme,311292.258229,183663.149504,65985.258084,88497.17595100001,8861.48072,219.414414,2025-03-01
Banregio,256780.76085264998,46163.89847097,181383.43073965,185972.57303223,32237.78269466,1601.46388572,2025-03-01
Invex,203715.140827,131235.646836,44924.741618,58317.110414999996,10269.36599,399.78194,2025-03-01
J.P. Morgan,179715.841052,35902.413544,26738.230945,55277.486082999996,34940.468414,1071.332999,2025-03-01
BanCoppel,170677.38359488,71474.00449161,68745.83770477,143913.22246452,21511.10068176,1158.8995451600001,2025-03-01
CIBanco,161177.819437,65981.211677,16186.067989,46653.717663,5829.43538,67.324256,2025-03-01
Banca Mifel,155078.550856,49194.548634,81965.725442,95934.85510799999,14623.784911,734.491704,2025-03-01
Banco Base,149532.29626,113554.316815,11048.18891,33714.011039,7352.578119,486.641294,2025-03-01
Multiva,148125.856275,51384.930259,72330.458342,90531.48086400001,9807.564933,327.243146,2025-03-01
Sabadell,144626.936691,18157.728231,98937.441906,126058.79310099999,17124.746512,336.965887,2025-03-01
Bank of America,129608.801498,23740.04417,37738.1991,52033.297420999996,22574.262051,657.307384,2025-03-01
Barclays,108274.616286,15630.356468,0.0,1064.071824,8699.649382,168.144201,2025-03-01
Ve por Más,95253.114256,27455.536278,58565.476512,61989.134008,9863.623454,394.509216,2025-03-01
Intercam Banco,87796.64129,32650.341176,24197.856768,40781.394608,11809.659,762.253582,2025-03-01
Bansí,69411.978258,26081.018927,26019.166686,43413.450366000005,7370.071957,314.521631,2025-03-01
Actinver,64101.105813,10107.978758,27547.24427,40390.65838,6687.664017,130.825341,2025-03-01
Compartamos,61789.101481,0.0,53456.657671,38562.262797999996,17282.229809,1544.801908,2025-03-01
BIAfirme,57878.341373,56158.753465,236.919257,23.05487,1144.30687,39.588237,2025-03-01
Bancrea,50194.113114629996,1801.5104908800001,40772.128473510005,43495.30756774,4509.45137094,248.57820894999998,2025-03-01
MUFG Bank,47265.288809,7877.891861,12191.74427,30464.831027,9376.02432,383.60107,2025-03-01
Consubanco,32247.062267,914.19693,27462.637162,19064.455171,4465.788621,201.515768,2025-03-01
BNP Paribas México,26660.58208,5293.775047,0.0,0.0,5410.503138,82.835835,2025-03-01
Bankaool,17818.574805,404.449297,10074.248034,14248.999329,1811.169071,16.809494,2025-03-01
Inmobiliario Mexicano,16066.06931556,210.10276403,12717.331765870002,13331.765826289999,1824.5068500099999,36.54042318,2025-03-01
Autofin,15398.960519389999,3758.908408,7654.237661270001,13288.562024290002,1518.8370663399999,74.60190777,2025-03-01
Mizuho Bank,11209.485910200001,0.0,6416.089657359999,6258.193775090001,4408.553549,129.56932296,2025-03-01
ICBC,9566.031211,341.71543,4714.016866,7277.49933,1268.59551,65.188992,2025-03-01
Banco Covalto,9526.893732370001,92.9519765,5774.85862534,8145.40350317,1117.9169308199998,40.01340313,2025-03-01
Bank of China,8882.472726700002,0.0,4482.61018297,6611.860445689999,2208.5345551,31.483749940000003,2025-03-01
Volkswagen Bank,7544.253045,0.0,6943.415559,3516.314702,3487.422116,99.719865,2025-03-01
Banco Ualá,6923.936114,3295.14235,621.453445,5831.44769,855.293067,-282.468809,2025-03-01
Shinhan,6319.810621,1606.372655,3978.184591,4412.506303,1862.116323,31.318893,2025-03-01
KEB Hana México,5821.919648,1747.254146,4007.959671,4050.049879,1742.968529,16.941439,2025-03-01
Openbank,5096.4387,2470.744372,16.999087,387.177951,4232.673217,-201.455978,2025-03-01
Banco S3,4356.153602,0.0,113.057576,1021.483518,2441.111706,76.5074,2025-03-01
Banco Bineo,3697.5033828299997,0.0,36.13740742,36.32377665,3373.32384181,-289.2308364,2025-03-01
Dondé Banco,2650.208041,272.719636,1371.58639,1722.042673,502.930508,-27.077215,2025-03-01
Credit Suisse,2315.015123,1992.651665,0.0,0.0,2177.204692,-42.080045,2025-03-01
Hey Banco,1550.79704268,0.0,0.0,0.0054,1545.21637707,24.574643050000002,2025-03-01
Forjadores,867.553215,0.0,412.158271,215.153158,608.465146,-3.66854,2025-03-01
Pagatodo,373.768729,0.0,0.0,20.879161,322.581078,-20.935702,2025-03-01
Sistema,15266557.67609602,3912054.5043852706,7773454.99265656,9139336.49539257,1731230.99335799,76094.27642478,2025-03-01
